BIO	TOPO	TYPE
TI000125	32.03472@44.40333	TOID_SE
TI000125	اصبهان	TOPO_SE
TI000125	32.65722@51.67761	TOID_SE
TI000125	البصرة	TOPO_SE
TI000125	30.53302@47.79747	TOID_SE
TI000125	ريدة	TOPO_SE
TI000125	15.81421@44.04085	TOID_SE
TI000125	تستر	TOPO_SE
TI000125	32.045556@48.856667	TOID_SE
TI000125	مكة	TOPO_SE
TI000125	21.416667@39.816667	TOID_SE
TI000155	60	DEATH_AH
TI000155	المدينة	TOPO_PR
TI000155	24.46861@39.61417	TOID_PR
TI000156	60	DEATH_AH
TI000156	المدينة	TOPO_PR
TI000156	24.46861@39.61417	TOID_PR
TI000156	اليمن	TOPO_SE
TI000156	14.953277@44.868164	TOID_SE
TI000156	المزة	TOPO_SE
TI000156	33.503056@36.258333	TOID_SE
TI000157	60	DEATH_AH
TI000157	خراسان	TOPO_PR
TI000157	36.564365@58.831787	TOID_PR
TI000158	60	DEATH_AH
TI000158	الحبشة	TOPO_PR
TI000158	13.761262@39.155273	TOID_PR
TI000159	60	DEATH_AH
TI000159	الشام	TOPO_PR
TI000159	34.672973@37.155762	TOID_PR
TI000160	60	DEATH_AH
TI000160	المدينة	TOPO_PR
TI000160	24.46861@39.61417	TOID_PR
TI000161	60	DEATH_AH
TI000161	الحجاز	TOPO_PR
TI000161	23.285756@39.572754	TOID_PR
TI000161	حمص	TOPO_SE
TI000161	34.72682@36.72339	TOID_SE
TI000162	60	DEATH_AH
TI000162	NoToponym	TOPO_NO
TI000163	60	DEATH_AH
TI000163	الطائف	TOPO_SE
TI000163	21.27028@40.41583	TOID_SE
TI000163	المدينة	TOPO_PR
TI000163	24.46861@39.61417	TOID_PR
TI000164	60	DEATH_AH
TI000164	الجزيرة	TOPO_PR
TI000164	36.582011@42.484131	TOID_PR
TI000164	المدينة	TOPO_SE
TI000164	24.46861@39.61417	TOID_SE
TI000164	بست	TOPO_SE
TI000164	31.5832@64.360291	TOID_SE
TI000165	60	DEATH_AH
TI000165	NoToponym	TOPO_NO
TI000166	60	DEATH_AH
TI000166	المدينة	TOPO_PR
TI000166	24.46861@39.61417	TOID_PR
TI000167	60	DEATH_AH
TI000167	مكة	TOPO_SE
TI000167	21.416667@39.816667	TOID_SE
TI000167	اليمن	TOPO_SE
TI000167	14.953277@44.868164	TOID_SE
TI000167	فارس	TOPO_PR
TI000167	29.079216@52.756348	TOID_PR
TI000168	60	DEATH_AH
TI000168	الكوفة	TOPO_PR
TI000168	32.03472@44.40333	TOID_PR
TI000169	60	DEATH_AH
TI000169	القدس	TOPO_PR
TI000169	31.76904@35.21633	TOID_PR
TI000170	60	DEATH_AH
TI000170	دارا	TOPO_SE
TI000170	37.177702@40.952826	TOID_SE
TI000170	مكة	TOPO_PR
TI000170	21.416667@39.816667	TOID_PR
TI000171	60	DEATH_AH
TI000171	دارا	TOPO_PR
TI000171	37.177702@40.952826	TOID_PR
TI000171	المدينة	TOPO_SE
TI000171	24.46861@39.61417	TOID_SE
TI000172	60	DEATH_AH
TI000172	القادسية	TOPO_SE
TI000172	34.072114@43.983078	TOID_SE
TI000172	الكوفة	TOPO_PR
TI000172	32.03472@44.40333	TOID_PR
TI000173	60	DEATH_AH
TI000173	المدينة	TOPO_PR
TI000173	24.46861@39.61417	TOID_PR
TI000174	60	DEATH_AH
TI000174	NoToponym	TOPO_NO
TI000175	60	DEATH_AH
TI000175	الشام	TOPO_PR
TI000175	34.672973@37.155762	TOID_PR
TI000176	60	DEATH_AH
TI000176	خراسان	TOPO_PR
TI000176	36.564365@58.831787	TOID_PR
TI000177	60	DEATH_AH
